"artist","PC1","PC2","PC3"
"2Pac",-1.74492628814646,-0.557841320849912,1.51577867790064
"A Tribe Called Quest",-1.36156314813752,-1.18481575280745,1.98466475416832
"ABBA",-1.111751970358,0.0564509646639952,-0.372554718080026
"ABC",-1.15216749370605,-0.353241055147153,-0.48702329034403
"AC/DC",-1.71211532896248,1.07848477503105,-0.206136009480734
"Aerosmith",-1.42410314074096,1.32501333390359,-0.202018440325202
"Air Supply",-0.0769723117078752,0.367851282721899,-0.531911408192473
"Al Green",-0.545539340848706,-0.838820611137174,-0.141635445277019
"Alanis Morissette",-0.790213418107714,0.810848867641883,-0.270177650896572
"Alice Cooper",-0.90761722877565,0.786954459868168,0.380552171385279
"Antony and the Johnsons",1.86931479676593,0.256062789502324,-0.11710109832285
"Aphex Twin",1.16123977997725,0.161403315353734,0.115880223927406
"Arctic Monkeys",-1.5132781834108,0.387362951616052,-0.14386045714116
"Aretha Franklin",-0.0666083400617079,-0.411709287195774,-0.194121634864322
"Art Blakey & The Jazz Messengers",0.269244981897801,0.0570133850565135,-0.141401374166741
"Augustus Pablo",-0.68770603349707,-0.828235269214902,0.389254718408618
"B.B. King",-0.3650092259035,-0.623633163631033,-0.0124633882867726
"Basement Jaxx",-1.25274792350227,0.318769185339808,0.488665746302436
"Beastie Boys",-1.31558719758858,-0.245907507801586,0.785547888262878
"Becky G",-1.91014435178892,-1.05236441625109,0.571643837674782
"Belle & Sebastian",-0.452620709557301,0.137357835563819,-0.130754593796017
"Ben E. King",-0.303558324627744,-0.860109885783311,-0.335007687431034
"Big Joe Turner",-0.0453165679603653,-1.2505842245954,-0.442323844867326
"Big Star",-0.481191398076943,0.326700448873027,-0.382925705846785
"Bill Evans",2.31547897954215,-0.136784469609579,-0.427901394189162
"Bill Haley & His Comets",-1.34990297048683,-1.20754338416986,-0.117642852110269
"Billie Holiday",1.44912344150629,-0.902483940283567,0.174280822358089
"Billy Bragg",-0.0925588398350794,-0.535410346627394,-0.248391975612479
"Billy Joel",-0.386663392058493,0.43884944716776,0.0264823151534912
"Björk",0.542281262905141,0.668469235896027,0.0361523210064355
"Black Sabbath",-0.560461999917408,1.58599117602489,0.233449397494411
"Bloc Party",-1.34746063940347,0.86204642479331,-0.0690377140435885
"Blondie",-1.56791793560351,1.08161376972449,-0.18779972284698
"Blue Öyster Cult",-1.11386579318181,1.13520808908693,-0.181801439027908
"Blur",-1.08599365069527,1.73751924942068,0.0495168900173216
"Bo Diddley",-0.861874853227885,-0.846154798811833,-0.118779259255821
"Bob Seger",-1.54821843165991,0.507836640180592,-0.185039148821676
"Bob Dylan",-0.0378749335361598,-0.371288352820653,-0.394465679205889
"Bob Marley & The Wailers",-1.0897150750549,-0.976187203984283,0.439047811204994
"Bonnie ""Prince"" Billy",1.12698133012908,-0.293550907252874,-0.366301000681961
"Boogie Down Productions",-1.60288543416022,-0.840412508887273,2.11086809266296
"Booker T. & the M.G.'s",0.229326449801315,-0.79673653029123,-0.470174232120946
"Boston",-0.285617587251335,0.669566961863882,-0.294389145069987
"Brian Eno",2.16055022319357,0.508683014358511,-0.462115226037126
"Bruce Springsteen",-0.775381665255559,0.482395029849019,-0.254611830415393
"Buddy Holly",-0.946233630297558,-1.02713195667249,-0.338795658508539
"Buffalo Springfield",-0.172066535243128,-0.561604390755873,-0.410320437835487
"Built To Spill",-0.673242683336715,1.22144942344459,-0.719047185232068
"Canciones De Cuna",3.79594714954725,0.745092322306111,0.453791865967185
"Captain Beefheart & His Magic Band",-0.580554438788264,-0.0356511268058293,0.287756255217953
"Carole King",-0.145970966907662,-0.302902937485556,-0.235653479278532
"Cecil Taylor",1.52693496399154,0.730445110432945,-0.43453572334835
"Charles Mingus",1.29170817473313,0.189020207588934,-0.379827134684232
"Charlie Parker",0.656574427595342,-0.849485965395397,-0.291881860030231
"Cheap Trick",-1.11791413533295,1.44604725756104,-0.298847854801544
"Chicago",-0.628202251251897,0.313780576342856,-0.290110704352604
"Chick Corea",1.77835899670047,0.364443550671797,-0.417343557336784
"Chuck Berry",-0.880399102686404,-1.23355127672039,-0.377365651289253
"Coldplay",0.080931607899343,0.889599934287093,-0.164358900617101
"Count Basie",0.654655078731592,-0.973117790894812,-0.284105708307983
"Cream",-0.534005550997616,0.88802724024721,-0.112005173466466
"Creedence Clearwater Revival",-1.45809192679715,-0.0605888799652345,-0.317496258546842
"Crosby, Stills, Nash & Young",-0.167771639090976,0.604751908057716,-0.164704990828441
"Crowded House",-0.584133459093421,0.0639844371437278,-0.289736190533956
"Curtis Mayfield",-0.646753873835645,-0.691020812026907,0.503780900590256
"Cyndi Lauper",-0.72904432768329,-0.217028178048454,0.112212572469235
"Cypress Hill",-1.54751737284653,-0.170738646001638,1.44714460863995
"D'Angelo",-0.698718556051844,-0.117926641867447,0.970340988388544
"Daft Punk",0.330502760390657,0.730437502866715,0.218130082701391
"Dave Brubeck",1.78755911769448,-0.660423898805177,-0.285705814135102
"David Bowie",0.23773215879093,0.202191922844132,-0.213756327547003
"De La Soul",-0.899827129377592,-0.54274163482282,1.07269444619164
"Deep Purple",-1.11654209144028,1.96425547241993,-0.200361665341011
"Def Leppard",-1.35711239565909,1.0972132294065,0.36556109979324
"Del Shannon",-0.976218298363407,-0.384742788393463,-0.228443863842151
"Depeche Mode",-0.600407143901596,0.90066245733027,0.0840223892172387
"Derek & The Dominos",-0.137169339616636,0.489457625314256,-0.646043952272618
"DEVO",-1.42002014194293,0.301191266680408,-0.0935224456621506
